sheet_name,raw_sugar_color,raw_syrup_brix,raw_syrup_color,lime_alkalinity,co2_percent,carbonated_alkalinity,carbonated_pH,filtercake_moisture,filtercake_sugar,sweetwater_brix,sulphited_pH,sulphited_brix,sulphited_color,standard_liquor_pH,standard_liquor_brix,standard_liquor_color,white_moisture,white_invert,white_solution_color,white_apparent_color,white_ash,white_total_points
8.07,2181,63.38,4292,9.73,10.68,0,7.65,28.11,0.05,10.86,6.83,56.53,680,7.03,56.7,660,17.91,17.91,17.91,17.91,17.91,17.91
8.08,2488,62.55,4066,9.31,10.97,0,7.53,27.35,0.19,27.45,7.78,60.03,865,7.43,58.68,667,16.94,16.94,16.94,16.94,16.94,16.94
8.09,2247,65,4441,8.59,10.49,0,7.72,28.06,0.02,20.71,6.87,62.7,773,6.98,61.32,684,15.68,15.68,15.68,15.68,15.68,15.68
8.1,2144,63.98,4099,10,10.83,0,7.54,28.07,0.13,23.84,6.93,60.32,564,6.73,59.78,535,17.19,17.19,17.19,17.19,17.19,17.19
8.11,2306,62.43,4333,8.75,10.94,0,7.62,28.02,0.46,18.24,6.62,62.98,590,6.56,61.73,633,15.49,15.49,15.49,15.49,15.49,15.49
8.12,2473,60.35,4308,9.89,10.94,0,7.68,28.01,0.03,25.95,6.56,60.72,557,6.97,61.53,542,18.14,18.14,18.14,18.14,18.14,18.14
8.13,2109,61.9,4197,9.97,10.58,0,7.56,27.82,0.15,32.29,6.95,60.77,613,7.09,61.17,631,17.29,17.29,17.29,17.29,17.29,17.29
8.14,2222,65.47,4204,9.48,10.86,0,7.94,29.07,0.16,19.49,6.9,61.9,537,7.06,60.22,519,17.74,17.74,17.74,17.74,17.74,17.74
8.15,2385,64.6,4108,9.67,10.75,0,7.3,28.02,0.08,25.34,6.85,63.83,670,6.56,62.5,618,15.3,15.3,15.3,15.3,15.3,15.3
8.16,2191,60.13,4261,8.67,10.71,0,7.97,28.06,0.44,35.05,7.26,57.27,650,6.61,57.5,580,18.92,18.92,18.92,18.92,18.92,18.92
8.17,2197,62.32,4204,10.03,10.78,0,7.63,28.07,0.04,29.73,6.88,56.87,513,6.92,476,56.78,17.63,17.63,17.63,17.63,17.63,17.63
8.18,2094,63.03,4213,9.97,10.9,0,7.73,28.01,0.24,21.62,6.82,59.82,645,6.98,56.78,723,17.46,17.46,17.46,17.46,17.46,17.46
8.19,2180,62.2,3962,9.87,11.26,0,7.55,29.56,0.09,25.79,6.73,58.17,580,6.94,57.68,581,18.57,18.57,18.57,18.57,18.57,18.57
8.2,2346,62.28,4523,9.48,11.22,0,7.8,27.85,0.28,21.63,6.94,61.35,620,6.91,60.68,576,16.4,16.4,16.4,16.4,16.4,16.4
8.21,2346,62.8,4462,9.6,11.07,0,7.5,27.81,0.23,28.87,6.72,62.48,463,6.81,61.82,579,17.86,17.86,17.86,17.86,17.86,17.86
8.22,2303,61.95,3108,9.95,10.84,0,7.44,28.51,0.45,28.82,6.93,60.86,553,6.89,59.57,596,15.44,15.44,15.44,15.44,15.44,15.44
8.23,2408,58.42,4311,7.68,10.82,0,7.47,28.15,0,24.57,6.94,60.2,687,6.75,61.34,699,14.85,14.85,14.85,14.85,14.85,14.85
8.24,2202,62.62,3923,8.27,11.22,0.01,8,30.12,0.38,27.18,6.82,59.6,650,7.15,58.92,621,13.16,13.16,13.16,13.16,13.16,13.16
8.25,1999,60.65,3533,8.95,9.97,0.01,7.93,28.02,0,22.49,6.94,59.17,511,7.05,59.5,493,15.07,15.07,15.07,15.07,15.07,15.07
8.26,2169,61.43,3564,8.58,10.64,0,8,28.12,0.01,25.69,6.94,60.15,518,6.98,60.75,590,16.46,16.46,16.46,16.46,16.46,16.46
8.27,2257,62.12,4113,8.33,11.3,0.01,7.94,27.89,0.04,26.51,6.83,59.53,514,6.88,60.73,583,16.13,16.13,16.13,16.13,16.13,16.13
